,Team,Salary,Player,Position,Season,Playoffs,Team Winning Percentage
3098,Dallas Mavericks,11158000.0,Jason Terry, G,2012,Conf First Round,0.545
3099,Orlando Magic,11015850.0,Hedo Turkoglu, SF,2012,Conf First Round,0.561
3100,Milwaukee Bucks,11000000.0,Monta Ellis, SG,2012,Did not make the Playoffs,0.47
3101,New Jersey Nets,10890000.0,Mehmet Okur, C,2012,Did not make the Playoffs,0.33299999999999996
3102,Toronto Raptors,10561982.0,Jose Calderon, PG,2012,Did not make the Playoffs,0.348
3103,Charlotte Bobcats,10262069.0,Corey Maggette, SF,2012,Did not make the Playoffs,0.106
3104,Dallas Mavericks,10121000.0,Jason Kidd, PG,2012,Conf First Round,0.545
3105,Los Angeles Clippers,10079404.0,DeAndre Jordan, C,2012,Conf Semifinals,0.606
3106,Boston Celtics,10045454.0,Rajon Rondo, PG,2012,Conf Finals,0.591
3107,Boston Celtics,10000000.0,Ray Allen, SG,2012,Conf Finals,0.591
3108,Toronto Raptors,10000000.0,Andrea Bargnani, C,2012,Did not make the Playoffs,0.348
3109,Indiana Pacers,10000000.0,David West, F,2012,Conf Semifinals,0.636
3110,Portland Trail Blazers,9500000.0,Gerald Wallace, SF,2012,Did not make the Playoffs,0.424
3111,Los Angeles Clippers,9500000.0,Cuttino Mobley, SG,2012,Conf Semifinals,0.606
3112,Utah Jazz,9319000.0,Devin Harris, PG,2012,Conf First Round,0.545
3113,San Antonio Spurs,9282000.0,Richard Jefferson, F,2012,Conf Finals,0.758
3114,Golden State Warriors,9000000.0,Andris Biedrins, C,2012,Did not make the Playoffs,0.348
3115,Dallas Mavericks,8900000.0,Lamar Odom, PF,2012,Conf First Round,0.545
3116,Utah Jazz,8603633.0,Paul Millsap, PF,2012,Conf First Round,0.545
3117,Orlando Magic,8600000.0,Jameer Nelson, G,2012,Conf First Round,0.561
3118,Houston Rockets,8591793.0,Luis Scola, F,2012,Did not make the Playoffs,0.515
3119,New Orleans Hornets,8500000.0,Carl Landry, PF,2012,Did not make the Playoffs,0.318
3120,Detroit Pistons,8500000.0,Rodney Stuckey, PG,2012,Did not make the Playoffs,0.379
3121,Los Angeles Clippers,8500000.0,Mo Williams, PG,2012,Conf Semifinals,0.606
3122,Sacramento Kings,8083000.0,John Salmons, SF,2012,Did not make the Playoffs,0.33299999999999996
3123,Philadelphia 76ers,8039130.0,Thaddeus Young, PF,2012,Conf Semifinals,0.53
3124,Dallas Mavericks,8022449.0,Shawn Marion, SG,2012,Conf First Round,0.545
3125,New Jersey Nets,8000000.0,Kris Humphries, PF,2012,Did not make the Playoffs,0.33299999999999996
3126,Los Angeles Clippers,8000000.0,Caron Butler, SF,2012,Conf Semifinals,0.606
3127,Atlanta Hawks,8000000.0,Kirk Hinrich, SG,2012,Conf First Round,0.606
3128,Miami Heat,7967375.0,Mark Blount, C,2012,Champion,0.6970000000000001
3129,Denver Nuggets,7807728.0,Andre Miller, PG,2012,Conf First Round,0.5760000000000001
3130,Denver Nuggets,7750000.0,Arron Afflalo, G,2012,Conf First Round,0.5760000000000001
3131,Cleveland Cavaliers,7700000.0,Anderson Varejao, C,2012,Did not make the Playoffs,0.318
3132,Oklahoma City Thunder,6665000.0,Morris Peterson, SG,2012,Finals,0.7120000000000001
3133,Philadelphia 76ers,6650000.0,Andres Nocioni, SF,2012,Conf Semifinals,0.53
3134,Memphis Grizzlies,6611571.0,Mike Conley, PG,2012,Conf First Round,0.621
3135,Chicago Bulls,6600000.0,Jerome James, C,2012,Conf First Round,0.758
3136,Portland Trail Blazers,6505320.0,Wesley Matthews, SG,2012,Did not make the Playoffs,0.424
3137,Phoenix Suns,6500000.0,Grant Hill, SF,2012,Did not make the Playoffs,0.5
3138,Phoenix Suns,6500000.0,Josh Childress, F,2012,Did not make the Playoffs,0.5
3139,Washington Wizards,6442083.0,Andray Blatche, C,2012,Did not make the Playoffs,0.303
3140,New York Knicks,6322320.0,Rasheed Wallace, PF,2012,Conf First Round,0.545
3141,Orlando Magic,6300000.0,Glen Davis, PF,2012,Conf First Round,0.561
3142,Detroit Pistons,6292135.0,Tayshaun Prince, SF,2012,Did not make the Playoffs,0.379
3143,Minnesota Timberwolves,6262347.0,Michael Beasley, SF,2012,Did not make the Playoffs,0.39399999999999996
3144,Denver Nuggets,6226200.0,Al Harrington, PF,2012,Conf First Round,0.5760000000000001
3145,Milwaukee Bucks,6226200.0,Drew Gooden, PF,2012,Did not make the Playoffs,0.47
3146,Boston Celtics,6226200.0,Jermaine O'Neal, C,2012,Conf Finals,0.591
3147,Sacramento Kings,6100000.0,Francisco Garcia, SG,2012,Did not make the Playoffs,0.33299999999999996
3148,Toronto Raptors,6000000.0,Amir Johnson, C,2012,Did not make the Playoffs,0.348
3149,Phoenix Suns,6000000.0,Channing Frye, F,2012,Did not make the Playoffs,0.5
3150,Los Angeles Lakers,5971363.0,Luke Walton, SF,2012,Conf Semifinals,0.621
3151,Houston Rockets,5750000.0,Kyle Lowry, PG,2012,Did not make the Playoffs,0.515
3152,Los Angeles Clippers,5731080.0,Blake Griffin, PF,2012,Conf Semifinals,0.606
3153,Dallas Mavericks,7624500.0,Brendan Haywood, C,2012,Conf First Round,0.545
3154,Toronto Raptors,7600000.0,Leandro Barbosa, G,2012,Did not make the Playoffs,0.348
3155,Indiana Pacers,7595600.0,James Posey, SF,2012,Conf Semifinals,0.636
3156,Portland Trail Blazers,7560000.0,Raymond Felton, PG,2012,Did not make the Playoffs,0.424
3157,Detroit Pistons,7540000.0,Charlie Villanueva, PF,2012,Did not make the Playoffs,0.379
3158,Sacramento Kings,7525000.0,Marcus Thornton, SG,2012,Did not make the Playoffs,0.33299999999999996
3159,Atlanta Hawks,7500000.0,Marvin Williams, PF,2012,Conf First Round,0.606
3160,Charlotte Bobcats,7305785.0,Tyrus Thomas, PF,2012,Did not make the Playoffs,0.106
3161,Phoenix Suns,7258960.0,Marcin Gortat, C,2012,Did not make the Playoffs,0.5
3162,Oklahoma City Thunder,7123626.0,Kendrick Perkins, C,2012,Finals,0.7120000000000001
3164,Houston Rockets,7000000.0,Samuel Dalembert, C,2012,Did not make the Playoffs,0.515
3165,Chicago Bulls,6993708.0,Derrick Rose, PG,2012,Conf First Round,0.758
3166,Milwaukee Bucks,6925400.0,Beno Udrih, PG,2012,Did not make the Playoffs,0.47
3167,Charlotte Bobcats,6925400.0,DeSagana Diop, C,2012,Did not make the Playoffs,0.106
3168,New Orleans Hornets,6790640.0,Trevor Ariza, SF,2012,Did not make the Playoffs,0.318
3169,Los Angeles Lakers,6790640.0,Metta World Peace, SF,2012,Conf Semifinals,0.621
3170,Orlando Magic,6750000.0,JJ Redick, SG,2012,Conf First Round,0.561
3171,Golden State Warriors,6750000.0,Kwame Brown, C,2012,Did not make the Playoffs,0.348
3172,Memphis Grizzlies,5632637.0,O.J. Mayo, SG,2012,Conf First Round,0.621
3174,Washington Wizards,5530080.0,John Wall, PG,2012,Did not make the Playoffs,0.303
3175,Denver Nuggets,5516664.0,Wilson Chandler, SF,2012,Conf First Round,0.5760000000000001
3176,Sacramento Kings,5486250.0,Chuck Hayes, PF,2012,Did not make the Playoffs,0.33299999999999996
3177,New York Knicks,5475113.0,Sasha Vujacic, SG,2012,Conf First Round,0.545
3178,Miami Heat,5400000.0,Mike Miller, SG,2012,Champion,0.6970000000000001
3179,Orlando Magic,5395000.0,Jason Richardson, SG,2012,Conf First Round,0.561
3180,Philadelphia 76ers,5293080.0,Evan Turner, SG,2012,Conf Semifinals,0.53
3181,Minnesota Timberwolves,5256000.0,Martell Webster, SF,2012,Did not make the Playoffs,0.39399999999999996
3182,Sacramento Kings,5251825.0,Tyreke Evans, SG,2012,Did not make the Playoffs,0.33299999999999996
3183,San Antonio Spurs,5220000.0,Antonio McDyess, PF,2012,Conf Finals,0.758
3184,Atlanta Hawks,5209454.0,Speedy Claxton, PG,2012,Conf First Round,0.606
3185,Philadelphia 76ers,5176000.0,Lou Williams, SG,2012,Conf Semifinals,0.53
3186,Cleveland Cavaliers,5144280.0,Kyrie Irving, PG,2012,Did not make the Playoffs,0.318
3187,Portland Trail Blazers,5127720.0,Hasheem Thabeet, C,2012,Did not make the Playoffs,0.424
3188,Oklahoma City Thunder,5082416.0,Russell Westbrook, PG,2012,Finals,0.7120000000000001
3189,Portland Trail Blazers,5000000.0,Jamal Crawford, SG,2012,Did not make the Playoffs,0.424
3190,Detroit Pistons,5000000.0,Jason Maxiell, PF,2012,Did not make the Playoffs,0.379
3191,New Orleans Hornets,5000000.0,Jarrett Jack, G,2012,Did not make the Playoffs,0.318
3193,Philadelphia 76ers,4818000.0,Darius Songaila, PF,2012,Conf Semifinals,0.53
3194,Minnesota Timberwolves,4776500.0,Darko Milicic, C,2012,Did not make the Playoffs,0.39399999999999996
3195,Utah Jazz,4753320.0,Derrick Favors, PF,2012,Conf First Round,0.545
3196,Minnesota Timberwolves,4752000.0,Brad Miller, C,2012,Did not make the Playoffs,0.39399999999999996
3197,Atlanta Hawks,4750000.0,Zaza Pachulia, C,2012,Conf First Round,0.606
3198,Chicago Bulls,4710000.0,Ronnie Brewer, SF,2012,Conf First Round,0.758
3199,Minnesota Timberwolves,4609701.0,Kevin Love, PF,2012,Did not make the Playoffs,0.39399999999999996
3200,Oklahoma City Thunder,4604760.0,James Harden, PG,2012,Finals,0.7120000000000001
3201,Minnesota Timberwolves,4602720.0,Derrick Williams, PF,2012,Did not make the Playoffs,0.39399999999999996
3202,Toronto Raptors,4600000.0,Linas Kleiza, SF,2012,Did not make the Playoffs,0.348
3203,Minnesota Timberwolves,4503600.0,Nikola Pekovic, C,2012,Did not make the Playoffs,0.39399999999999996
3204,Detroit Pistons,4500000.0,Jonas Jerebko, PF,2012,Did not make the Playoffs,0.379
3205,Washington Wizards,4455988.0,Jeff Green, SF,2012,Did not make the Playoffs,0.303
3206,Cleveland Cavaliers,4403834.0,Daniel Gibson, SG,2012,Did not make the Playoffs,0.318
3207,Utah Jazz,4319280.0,Enes Kanter, C,2012,Conf First Round,0.545
3208,Minnesota Timberwolves,4300000.0,J.J. Barea, PG,2012,Did not make the Playoffs,0.39399999999999996
3209,Los Angeles Lakers,4257973.0,Ramon Sessions, G,2012,Conf Semifinals,0.621
3210,Los Angeles Clippers,4250000.0,Randy Foye, SG,2012,Conf Semifinals,0.606
3211,Phoenix Suns,4250000.0,Jared Dudley, SF,2012,Did not make the Playoffs,0.5
3212,Boston Celtics,4250000.0,Brandon Bass, PF,2012,Conf Finals,0.591
3213,Denver Nuggets,4234000.0,Chris Andersen, PF,2012,Conf First Round,0.5760000000000001
3214,Denver Nuggets,4190182.0,Danilo Gallinari, SF,2012,Conf First Round,0.5760000000000001
3215,San Antonio Spurs,4100000.0,Bruce Bowen, SF,2012,Conf Finals,0.758
3216,Golden State Warriors,4099920.0,Charlie Bell, SG,2012,Did not make the Playoffs,0.348
3217,Memphis Grizzlies,4080915.0,Greg Buckner, SG,2012,Conf First Round,0.621
3218,Miami Heat,4060000.0,Udonis Haslem, PF,2012,Champion,0.6970000000000001
3219,Philadelphia 76ers,4051024.0,Spencer Hawes, PF,2012,Conf Semifinals,0.53
3220,Minnesota Timberwolves,4006080.0,Wesley Johnson, SF,2012,Did not make the Playoffs,0.39399999999999996
3221,New Jersey Nets,4000000.0,Jordan Farmar, PG,2012,Did not make the Playoffs,0.33299999999999996
3222,Miami Heat,4000000.0,Mario Chalmers, G,2012,Champion,0.6970000000000001
3223,Los Angeles Clippers,4000000.0,Ryan Gomes, SF,2012,Conf Semifinals,0.606
3224,San Antonio Spurs,3944000.0,Tiago Splitter, C,2012,Conf Finals,0.758
3225,Charlotte Bobcats,3900000.0,Matt Carroll, SG,2012,Did not make the Playoffs,0.106
3226,Sacramento Kings,3880800.0,DeMarcus Cousins, C,2012,Did not make the Playoffs,0.33299999999999996
3227,New Orleans Hornets,3831184.0,Eric Gordon, SG,2012,Did not make the Playoffs,0.318
3228,Golden State Warriors,3823000.0,Dorell Wright, SF,2012,Did not make the Playoffs,0.348
3229,Oklahoma City Thunder,3750000.0,Nazr Mohammed, C,2012,Finals,0.7120000000000001
3230,Milwaukee Bucks,3750000.0,Mike Dunleavy, SG,2012,Did not make the Playoffs,0.47
3231,Cleveland Cavaliers,3726600.0,Tristan Thompson, C,2012,Did not make the Playoffs,0.318
3232,Utah Jazz,3700000.0,CJ Miles, SF,2012,Conf First Round,0.545
3233,Miami Heat,3700000.0,Joel Anthony, PF,2012,Champion,0.6970000000000001
3234,Washington Wizards,3695857.0,Nick Young, G,2012,Did not make the Playoffs,0.303
3235,Minnesota Timberwolves,3680000.0,Luke Ridnour, PG,2012,Did not make the Playoffs,0.39399999999999996
3236,San Antonio Spurs,3630000.0,Matt Bonner, C,2012,Conf Finals,0.758
3237,Phoenix Suns,3500000.0,Shannon Brown, PG,2012,Did not make the Playoffs,0.5
3238,Milwaukee Bucks,3500000.0,Shaun Livingston, PG,2012,Did not make the Playoffs,0.47
3239,Minnesota Timberwolves,3480120.0,Ricky Rubio, PG,2012,Did not make the Playoffs,0.39399999999999996
3240,Utah Jazz,3480000.0,Raja Bell, SG,2012,Conf First Round,0.545
3241,Portland Trail Blazers,3414720.0,Jonny Flynn, PG,2012,Did not make the Playoffs,0.424
3242,Chicago Bulls,3400000.0,C.J. Watson, PG,2012,Conf First Round,0.758
3243,New Orleans Hornets,3377604.0,Marco Belinelli, G,2012,Did not make the Playoffs,0.318
3244,Toronto Raptors,3344250.0,DeMar DeRozan, SG,2012,Did not make the Playoffs,0.348
3245,Denver Nuggets,3343896.0,Timofey Mozgov, C,2012,Conf First Round,0.5760000000000001
3246,Oklahoma City Thunder,3341558.0,Daequan Cook, SG,2012,Finals,0.7120000000000001
3247,Oklahoma City Thunder,3300000.0,Thabo Sefolosha, SF,2012,Finals,0.7120000000000001
3248,Milwaukee Bucks,3294960.0,Ekpe Udoh, C,2012,Did not make the Playoffs,0.47
3249,Oklahoma City Thunder,3272997.0,Nick Collison, F,2012,Finals,0.7120000000000001
3250,Orlando Magic,3250000.0,Chris Duhon, PG,2012,Conf First Round,0.561
3251,New Jersey Nets,3250000.0,Johan Petro, C,2012,Did not make the Playoffs,0.33299999999999996
3252,Charlotte Bobcats,3236470.0,D.J. Augustin, PG,2012,Did not make the Playoffs,0.106
3253,Memphis Grizzlies,3150000.0,Tony Allen, SG,2012,Conf First Round,0.621
3254,New Jersey Nets,3135000.0,Shawne Williams, SF,2012,Did not make the Playoffs,0.33299999999999996
3255,Miami Heat,3135000.0,Shane Battier, SF,2012,Champion,0.6970000000000001
3256,Golden State Warriors,3117120.0,Stephen Curry, PG,2012,Did not make the Playoffs,0.348
3257,New Jersey Nets,3076983.0,Brook Lopez, C,2012,Did not make the Playoffs,0.33299999999999996
3258,Washington Wizards,3065040.0,Jan Vesely, PF,2012,Did not make the Playoffs,0.303
3259,Denver Nuggets,3059000.0,Corey Brewer, F,2012,Conf First Round,0.5760000000000001
3260,Toronto Raptors,3042280.0,Jerryd Bayless, PG,2012,Did not make the Playoffs,0.348
3261,Detroit Pistons,3007920.0,Greg Monroe, C,2012,Did not make the Playoffs,0.379
3262,Sacramento Kings,3001284.0,Jason Thompson, PF,2012,Did not make the Playoffs,0.33299999999999996
3263,Sacramento Kings,3000000.0,Travis Outlaw, SF,2012,Did not make the Playoffs,0.33299999999999996
3264,Los Angeles Lakers,3000000.0,Josh McRoberts, PF,2012,Conf Semifinals,0.621
3265,Dallas Mavericks,3000000.0,Vince Carter, SF,2012,Conf First Round,0.545
3266,Golden State Warriors,2956658.0,Brandon Rush, SG,2012,Did not make the Playoffs,0.348
3267,Minnesota Timberwolves,2911231.0,Anthony Randolph, SF,2012,Did not make the Playoffs,0.39399999999999996
3268,Phoenix Suns,2862602.0,Robin Lopez, C,2012,Did not make the Playoffs,0.5
3269,Toronto Raptors,2858057.0,Julian Wright, SF,2012,Did not make the Playoffs,0.348
3270,Los Angeles Lakers,2855760.0,Jordan Hill, C,2012,Conf Semifinals,0.621
3271,Minnesota Timberwolves,2840000.0,Mark Madsen, PF,2012,Did not make the Playoffs,0.39399999999999996
3272,Toronto Raptors,2812006.0,James Johnson, PF,2012,Did not make the Playoffs,0.348
3273,Charlotte Bobcats,2798040.0,Bismack Biyombo, C,2012,Did not make the Playoffs,0.106
3274,Indiana Pacers,2763450.0,Lou Amundson, PF,2012,Conf Semifinals,0.636
3275,New Orleans Hornets,2755560.0,Al-Farouq Aminu, PF,2012,Did not make the Playoffs,0.318
3276,Charlotte Bobcats,2750000.0,Eduardo Najera, PF,2012,Did not make the Playoffs,0.106
3277,Memphis Grizzlies,2721255.0,Marreese Speights, F,2012,Conf First Round,0.621
3278,Utah Jazz,2709720.0,Gordon Hayward, SF,2012,Conf First Round,0.545
3279,Indiana Pacers,2700000.0,Dahntay Jones, SG,2012,Conf Semifinals,0.636
3281,Philadelphia 76ers,2674852.0,Jrue Holiday, PG,2012,Conf Semifinals,0.53
3282,Indiana Pacers,2588590.0,Roy Hibbert, C,2012,Conf Semifinals,0.636
3283,Detroit Pistons,2563320.0,Brandon Knight, PG,2012,Did not make the Playoffs,0.379
3284,Milwaukee Bucks,2541000.0,Ersan Ilyasova, PF,2012,Did not make the Playoffs,0.47
3285,New Orleans Hornets,2500000.0,Jason Smith, PF,2012,Did not make the Playoffs,0.318
3286,Los Angeles Clippers,2500000.0,Kenyon Martin, PF,2012,Conf Semifinals,0.606
3287,New Jersey Nets,2500000.0,DeShawn Stevenson, SG,2012,Did not make the Playoffs,0.33299999999999996
3288,Milwaukee Bucks,2493720.0,Brandon Jennings, G,2012,Did not make the Playoffs,0.47
3289,Washington Wizards,2462400.0,JaVale McGee, C,2012,Did not make the Playoffs,0.303
3290,Orlando Magic,2446200.0,Quentin Richardson, SF,2012,Conf First Round,0.561
3291,Indiana Pacers,2406240.0,Paul George, SF,2012,Conf Semifinals,0.636
3292,Los Angeles Clippers,2400000.0,Ricky Davis, SG,2012,Conf Semifinals,0.606
3293,Charlotte Bobcats,2356320.0,Kemba Walker, PG,2012,Did not make the Playoffs,0.106
3294,Sacramento Kings,2354537.0,JJ Hickson, C,2012,Did not make the Playoffs,0.33299999999999996
3295,Sacramento Kings,2339040.0,Jimmer Fredette, G,2012,Did not make the Playoffs,0.33299999999999996
3296,New York Knicks,2338709.0,JR Smith, SG,2012,Conf First Round,0.545
3297,Oklahoma City Thunder,2329545.0,Derek Fisher, PG,2012,Finals,0.7120000000000001
3298,Oklahoma City Thunder,2286000.0,Cole Aldrich, C,2012,Finals,0.7120000000000001
3299,Charlotte Bobcats,2250600.0,Gerald Henderson, SG,2012,Did not make the Playoffs,0.106
3300,Cleveland Cavaliers,2250000.0,Anthony Parker, SG,2012,Did not make the Playoffs,0.318
3301,Boston Celtics,2246400.0,Keyon Dooling, PG,2012,Conf Finals,0.591
3302,Detroit Pistons,2246400.0,Ben Wallace, PF,2012,Did not make the Playoffs,0.379
3303,Orlando Magic,2244601.0,Ryan Anderson, PF,2012,Conf First Round,0.561
3304,Houston Rockets,2225093.0,Courtney Lee, SG,2012,Did not make the Playoffs,0.515
3305,Toronto Raptors,2207040.0,Ed Davis, PF,2012,Did not make the Playoffs,0.348
3306,Denver Nuggets,2203792.0,Kosta Koufos, C,2012,Conf First Round,0.5760000000000001
3307,Denver Nuggets,2180443.0,Rudy Fernandez, SG,2012,Conf First Round,0.5760000000000001
3308,New Orleans Hornets,2171640.0,Xavier Henry, SG,2012,Did not make the Playoffs,0.318
3309,Portland Trail Blazers,2155365.0,Nicolas Batum, SF,2012,Did not make the Playoffs,0.424
3310,Utah Jazz,2150000.0,Josh Howard, SF,2012,Conf First Round,0.545
3311,Indiana Pacers,2138040.0,Tyler Hansbrough, PF,2012,Conf Semifinals,0.636
3312,Golden State Warriors,2126520.0,Klay Thompson, SG,2012,Did not make the Playoffs,0.348
3313,Utah Jazz,2111160.0,Alec Burks, SG,2012,Conf First Round,0.545
3314,Houston Rockets,2108000.0,Goran Dragic, PG,2012,Did not make the Playoffs,0.515
3315,Orlando Magic,2062800.0,Anthony Johnson, PG,2012,Conf First Round,0.561
3316,Houston Rockets,2062800.0,Brent Barry, SG,2012,Did not make the Playoffs,0.515
3317,Minnesota Timberwolves,2050000.0,Anthony Tolliver, PF,2012,Did not make the Playoffs,0.39399999999999996
3318,Phoenix Suns,2027119.0,Darrell Arthur, F,2012,Did not make the Playoffs,0.5
3319,Minnesota Timberwolves,2016692.0,Aaron Brooks, G,2012,Did not make the Playoffs,0.39399999999999996
3320,Phoenix Suns,2005560.0,Markieff Morris, PF,2012,Did not make the Playoffs,0.5
3321,Charlotte Bobcats,2001167.0,D.J. White, PF,2012,Did not make the Playoffs,0.106
3322,Los Angeles Clippers,2000032.0,Chauncey Billups, PG,2012,Conf Semifinals,0.606
3323,Memphis Grizzlies,2000000.0,Dante Cunningham, SF,2012,Conf First Round,0.621
3324,Utah Jazz,2000000.0,Earl Watson, PG,2012,Conf First Round,0.545
3325,Toronto Raptors,1990000.0,Rasho Nesterovic, C,2012,Did not make the Playoffs,0.348
3326,Houston Rockets,1959960.0,Patrick Patterson, PF,2012,Did not make the Playoffs,0.515
3327,Detroit Pistons,1929600.0,Austin Daye, SF,2012,Did not make the Playoffs,0.379
3328,Los Angeles Lakers,1906200.0,Matt Barnes, SF,2012,Conf Semifinals,0.621
3329,Portland Trail Blazers,1892280.0,Luke Babbitt, F,2012,Did not make the Playoffs,0.424
3330,Milwaukee Bucks,1861920.0,Larry Sanders, PF,2012,Did not make the Playoffs,0.47
3331,Chicago Bulls,1857500.0,Omer Asik, C,2012,Conf First Round,0.758
3332,Houston Rockets,1823280.0,Dikembe Mutombo, C,2012,Did not make the Playoffs,0.515
3333,Houston Rockets,1823280.0,Marcus Morris, PF,2012,Did not make the Playoffs,0.515
3334,San Antonio Spurs,1809840.0,Kawhi Leonard, SF,2012,Conf Finals,0.758
3335,New Jersey Nets,1728000.0,Keith Bogans, SG,2012,Did not make the Playoffs,0.33299999999999996
3336,Philadelphia 76ers,1719480.0,Nikola Vucevic, C,2012,Conf Semifinals,0.53
3337,Washington Wizards,1680360.0,Kevin Seraphin, C,2012,Did not make the Playoffs,0.303
3338,Sacramento Kings,1679914.0,Donte Greene, SF,2012,Did not make the Playoffs,0.33299999999999996
3339,New York Knicks,1675000.0,Renaldo Balkman, SF,2012,Conf First Round,0.545
3340,Denver Nuggets,1654440.0,Ty Lawson, G,2012,Conf First Round,0.5760000000000001
3341,Los Angeles Clippers,1596360.0,Eric Bledsoe, PG,2012,Conf Semifinals,0.606
3342,Atlanta Hawks,1579920.0,Jeff Teague, PG,2012,Conf First Round,0.606
3343,Phoenix Suns,1567500.0,Sebastian Telfair, PG,2012,Did not make the Playoffs,0.5
3344,New Orleans Hornets,1567500.0,Gustavo Ayon, PF,2012,Did not make the Playoffs,0.318
3345,New York Knicks,1563120.0,Iman Shumpert, SG,2012,Conf First Round,0.545
3346,Indiana Pacers,1540493.0,George Hill, PG,2012,Conf Semifinals,0.636
3347,Boston Celtics,1524480.0,Avery Bradley, SG,2012,Conf Finals,0.591
3348,Oklahoma City Thunder,1516680.0,Eric Maynor, PG,2012,Finals,0.7120000000000001
3349,Miami Heat,1500000.0,Greg Oden, C,2012,Champion,0.6970000000000001
3350,Toronto Raptors,1500000.0,Gary Forbes, F,2012,Did not make the Playoffs,0.348
3351,Miami Heat,1500000.0,James Jones, SG,2012,Champion,0.6970000000000001
3352,Washington Wizards,1485000.0,Chris Singleton, SF,2012,Did not make the Playoffs,0.303
3353,Los Angeles Clippers,1467840.0,Alexis Ajinca, C,2012,Conf Semifinals,0.606
3354,Indiana Pacers,1455960.0,Darren Collison, PG,2012,Conf Semifinals,0.636
3355,Portland Trail Blazers,1442880.0,Elliot Williams, SG,2012,Did not make the Playoffs,0.424
3356,Milwaukee Bucks,1418160.0,Tobias Harris, SF,2012,Did not make the Playoffs,0.47
3357,Philadelphia 76ers,1404960.0,Craig Brackins, PF,2012,Conf Semifinals,0.53
3358,San Antonio Spurs,1402540.0,James Anderson, SG,2012,Conf Finals,0.758
3359,Miami Heat,1399507.0,Eddie House, SG,2012,Champion,0.6970000000000001
3360,Miami Heat,1399507.0,Zydrunas Ilgauskas, C,2012,Champion,0.6970000000000001
3361,Portland Trail Blazers,1365720.0,Nolan Smith, PG,2012,Did not make the Playoffs,0.424
3362,Portland Trail Blazers,1352181.0,Kurt Thomas, PF,2012,Did not make the Playoffs,0.424
3363,Utah Jazz,1352181.0,Jamaal Tinsley, PG,2012,Conf First Round,0.545
3364,Boston Celtics,1352181.0,Shaquille O'Neal, C,2012,Conf Finals,0.591
3365,Milwaukee Bucks,1350000.0,Roko-Leni Ukic, PG,2012,Did not make the Playoffs,0.47
3366,Cleveland Cavaliers,1341960.0,Omri Casspi, SF,2012,Did not make the Playoffs,0.318
3367,Memphis Grizzlies,1300000.0,Hamed Haddadi, C,2012,Conf First Round,0.621
3368,Washington Wizards,1294920.0,Trevor Booker, F,2012,Did not make the Playoffs,0.303
3369,Oklahoma City Thunder,1288200.0,Serge Ibaka, PF,2012,Finals,0.7120000000000001
3370,Charlotte Bobcats,1288200.0,Byron Mullens, C,2012,Did not make the Playoffs,0.106
3371,Denver Nuggets,1254720.0,Kenneth Faried, PF,2012,Conf First Round,0.5760000000000001
3372,New Jersey Nets,1243080.0,Damion James, SF,2012,Did not make the Playoffs,0.33299999999999996
3373,Dallas Mavericks,1236720.0,Rodrigue Beaubois, PG,2012,Conf First Round,0.545
3374,Washington Wizards,1223166.0,Brian Cook, PF,2012,Did not make the Playoffs,0.303
3375,Oklahoma City Thunder,1200000.0,Royal Ivey, PG,2012,Finals,0.7120000000000001
3376,Chicago Bulls,1195680.0,Taj Gibson, PF,2012,Conf First Round,0.758
3377,Dallas Mavericks,1193280.0,Dominique Jones, SG,2012,Conf First Round,0.545
3378,Memphis Grizzlies,1184750.0,Sam Young, SF,2012,Conf First Round,0.621
3379,Orlando Magic,1160000.0,Earl Clark, SF,2012,Conf First Round,0.561
3380,Oklahoma City Thunder,1156320.0,Reggie Jackson, PG,2012,Finals,0.7120000000000001
3381,Minnesota Timberwolves,1154040.0,Wayne Ellington, SG,2012,Did not make the Playoffs,0.39399999999999996
3382,Memphis Grizzlies,1153800.0,Quincy Pondexter, SF,2012,Conf First Round,0.621
3383,New York Knicks,1145640.0,Toney Douglas, PG,2012,Conf First Round,0.545
3384,Denver Nuggets,1121520.0,Jordan Hamilton, SG,2012,Conf First Round,0.5760000000000001
3385,Washington Wizards,1120440.0,Jordan Crawford, G,2012,Did not make the Playoffs,0.303
3386,New Orleans Hornets,1113600.0,Greivis Vasquez, PG,2012,Did not make the Playoffs,0.318
3387,Milwaukee Bucks,1106941.0,Stephen Graham, SF,2012,Did not make the Playoffs,0.47
3388,Cleveland Cavaliers,1106941.0,Joey Graham, SF,2012,Did not make the Playoffs,0.318
3389,Orlando Magic,1105560.0,Daniel Orton, C,2012,Conf First Round,0.561
3390,Los Angeles Lakers,1097520.0,Christian Eyenga, SF,2012,Conf Semifinals,0.621
3391,Oklahoma City Thunder,1097520.0,Lazar Hayward, SF,2012,Finals,0.7120000000000001
3392,Miami Heat,1082520.0,Norris Cole, PG,2012,Champion,0.6970000000000001
3393,San Antonio Spurs,1074720.0,Cory Joseph, PG,2012,Conf Finals,0.758
3394,Minnesota Timberwolves,1071720.0,Alando Tucker, SF,2012,Did not make the Playoffs,0.39399999999999996
3395,Orlando Magic,1069509.0,Von Wafer, SG,2012,Conf First Round,0.561
3396,New Jersey Nets,1063865.0,MarShon Brooks, SG,2012,Did not make the Playoffs,0.33299999999999996
3397,San Antonio Spurs,1059750.0,Stephen Jackson, SF,2012,Conf Finals,0.758
